previous_experiment,current_experiment,task,route,metric,previous,current,relative_change_pct,comparison,previous_technical_path,current_technical_path
exp001,exp002,2,正式调度,total_cost,16258308.21735459,15128897.452710154,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,planned_cost,12025380.561354762,11755724.512758028,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,up_cost,0.0,0.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,down_cost,0.0,0.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,emergency_cost,4232927.655999829,3373172.939952124,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,emergency_kwh,728394.1217597744,579717.6630443097,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,violations,0.0,0.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,final_soc,1200.0,1200.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,2,正式调度,solve_execute_seconds,1.197190367267,907.740153215011,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,total_cost,17012164.409642328,15901397.20111242,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,planned_cost,12679135.247747935,12432922.19044825,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,up_cost,0.0,0.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,down_cost,0.0,0.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,emergency_cost,4333029.161894392,3468475.010664167,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,emergency_kwh,724372.4608915267,579538.519334533,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,violations,0.0,0.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
exp001,exp002,4-2,正式调度,final_soc,1200.0,1200.0,,"version, efficiency, warmup, pv_interpolation, execution, metric_definitions",区间终点对齐 → 因果历史窗口与已发布预报 → 三种独立分支神经网络残差预测 → 三种子平均与月初验证费用选模 → 线性规划计划及日内重算 → 固定因果执行 → 逐区间独立结算,区间终点与小时点积分 → 周期基础预测 → 固定四分支轻量残差网络 → 固定正式种子与三种子稳定性评价 → 联合残差与非预见性场景树 → 期望费用加条件尾部风险的混合整数规划 → 精确因果储能执行 → 最终净调整结算
